title,ratings_count,rating_score,region,source,clarity_specifies_location,clarity_specifies_core_activity,clarity_indicates_activity_format,clarity_specifies_key_transport,clarity_indicates_day_trip_origin,value_highlights_access_benefit,value_specifies_guidance,value_specifies_ticket_inclusion,value_mentions_food_drink,value_indicates_target_audience,experience_specifies_group_size,experience_highlights_time_benefit,experience_specifies_duration,experience_uses_hook_keywords,experience_highlights_unique_access,quality_free_of_errors,quality_uses_appropriate_caps,quality_free_of_contact_info,quality_free_of_price_info,quality_concise_and_scannable,processed
Jerez de la Frontera: How the Andalusian Horses Dance,5101,4.652225,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Stonehenge Admission Ticket,5412,4.5659647,europe,getyourguide,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True
Madrid: Emociones Live Flamenco Performance,8570,4.7726955,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Vienna: Vivaldi The Four Seasons & Mozart in the Musikverein,4177,4.6102467,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Versailles: Skip-the-Line Tour of Palace with Gardens Access,6990,4.732904,europe,getyourguide,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
From Krakow: Wieliczka Salt Mine Tour,3613,4.5446997,europe,getyourguide,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Eiffel Tower Summit or Second Floor Access,13491,4.3977466,europe,getyourguide,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True
Pompeii: Entry Ticket and Guided Tour with an Archaeologist,13686,4.826173,europe,getyourguide,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True
"Colosseum, Roman Forum & Palatine Guided Tour",58818,4.6971164,europe,getyourguide,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Eiffel Tower Stairs Climb to Level 2 & Summit Option,7535,3.89144,europe,getyourguide,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
"Colosseum Arena, Palatine Hill & Forum Guided Tour",9846,4.5981107,europe,getyourguide,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Venice: Grand Canal by Gondola with Live Commentary,12340,4.093355,europe,getyourguide,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True
