title,clarity_specifies_location,clarity_specifies_core_activity,clarity_indicates_activity_format,clarity_specifies_key_transport,clarity_indicates_day_trip_origin,value_highlights_access_benefit,value_specifies_guidance,value_specifies_ticket_inclusion,value_mentions_food_drink,value_indicates_target_audience,experience_specifies_group_size,experience_highlights_time_benefit,experience_specifies_duration,experience_uses_hook_keywords,experience_highlights_unique_access,quality_free_of_errors,quality_uses_appropriate_caps,quality_free_of_contact_info,quality_free_of_price_info,quality_concise_and_scannable,processed
From Hanoi : Private Day Tour to Tam Coc and Phat Diem,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
Reykjavik: Private Christmas Food Tour with a Local Guide,True,True,True,False,False,False,True,False,True,False,True,False,False,False,False,True,True,True,True,True,True
"Cambridge: LHR to Cambridge Executive SUV Transfer, recommended by Expedia travelers",True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Barcelona: Fluorescent Paint and Wine Workshop - $5 cheaper than other classes.,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True
Stockholm: Nordiska Museet Entry Ticket,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True
Toronto: Heart of Downtown 3.5-Hour Bike Tour,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
Seville: Electric Scooter City Tour,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Zoo Atlanta General Admission Ticket,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True
"The Hague: Escher in The Palace Museum Ticket, contact info@escherinhague.nl",True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True
From Sorrento: Amalfi Coast Tour and Wine Tasting with Lunch,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
"Almaty: 6-Day private Adventure Tour, contact us at +7 123 456 7890",True,True,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True
Best Cultural Tour in Istanbul,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True
PRIVATE GASTRONOMIC EXPERIENCE IN A LOCAL HOME,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,True,True,True
New Orleans: Guided Nighttime Ghost Hunt,True,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,True,True,True
Private Half-Day Catamaran Cruise to Kleftiko Bay,True,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,True,True
Whisky Flight and Scottish Cheeseboard,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
Krakow: Snowmobile Ride with Thermal Pools and Hotel Pickup,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Da Lat Adventure : Langbiang Mountain -Datanla - Crazy House,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True
Sorrento: Transfer to Naples with Herculaneum Guided Tour,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Kuala Lumpur: Taman Negara National Park Teras Waterfall,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Fuerteventura North: PREMIUM E-bike guided tour,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True
Yala Beachside BBQ: All-Inclusive Private Dinner in Yala,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,True,True,True
Saint-Émilion: Private Walking Tour & Magnificent Views,True,True,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True
From Salvador: Tour to Praia do Forte and Guarajuba,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Cagliari: three-hour dinghy tour in the Gulf of Angeles,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
HIROSHIMA ORIZURU TOWER Admission Ticket,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True
Penzance: Land's End Boat Tour with Wildlife Guides book by phone for 10% off,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True
"Hurghada: Grand Egyptian Museum, Pyramids & Sphinx Day Tour",True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Bangkok: Travstore Original Bangkok Discovery Tour,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Venice: Audio Tour for the Venice Museum of Music,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
"Hammamet, Sousse, or Tunis: VIP Transfer in Mercedes …",True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Rome in 1 day: Private sightseeing from the cruise port,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
"Uganda: 9-Day Midrange Wildlife, Chimps & Gorilla Safari",True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
From Lisbon: Sintra to Cascais Full-Day Guided E-Bike Tour,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True
Zanzibar: Mnemba Island Private Dhow Cruise with Lunch (+50 USD for private option).,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,True
"From Belfast: Giant's Causeway, Castles, Myths & Legends",True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True
"Seville: Salvador Church, Casa Pilatos, and Metropol Tour",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
"From Nice: Eze, Monaco, & Monte-Carlo Half-Day Trip",True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
Shanghai: Craft Beer Tasting in Former French Concession,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
Exploring Angkor Wat: Key highlights & sunrise guided tour,True,True,True,False,False,False,True,False,False,False,False,True,False,True,False,True,True,True,True,True,True
Sharm El Sheikh: Ras Mohamed & White Island Snorkel or Dive,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Lindos: Sea Kayaking & Acropolis of Lindos Tour with Lunch,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
From Fajardo: Power Catamaran Icacos Island Private Trip,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
Ubud: Mount Batur Sunrise Hike & Natural hot springs,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True
Braunschweig: Private City Walking Tour with Certified Guide,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True
Puerto Natales: Horseback Riding to Dorotea Fjord Lookout,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
London Heathrow Airport: Private Transfer to/from Manchester (+30 GBP for express service).,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
Rio de Janeiro: Food Tasting Tour with 33 Flavors and $5 savings on reservations,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True
Amalfi Coast,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Bus Tour from Lisbon,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Santo Domingo: Paradisiac Waterfall & Lunch Cooked on Wood,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
From Paris: Thoiry Park Safari and Castle Tour,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
"LARC! Paradise Tour: Beach, Lunch and Sandboarding",False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
Puerto Vallarta: RZR Rio Cuale,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Best Spots for a Picnic,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True
From Delhi: Overnight Jaipur Tour By Car,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
Broome: 9-Day Kimberley Trailblazer Tour,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
From Arequipa: Colca Canyon Excursion 2D with End in Puno,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
"From Fukuoka: Day Trip to Moji Port, Subsea Tunnel & Shrine",True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
From Nice: Verdon Gorge Full-Day Tour,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
Adelaide: South Australia Guided Full-Day Highlights Tour,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,True,True,True
Lausanne: Private Chocolate and History Tour,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
From Milan: Genova & Portofino Full-Day Tour,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
"From Puno: Uros and Taquile Islands Full-Day Tour, book at punotours@peru.com",True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
"DOURO VALLEY: Premium Wine Tour, Cruise & Lunch from Porto",True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
Wroclaw: E-Car Tour and Audio Guide,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True
LOMI LOMI MASSAGE,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
"Boquete, Panama: interactive Specialty Coffee Tour",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Barcelona: Montjuïc Walking Tour With Optional Flamenco Show,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Bali : Customised Private Tour with Car Charter,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
Aqualand Maspalomas Water Park Entry Ticket,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True
London: Private Secret Pub Walking Tour + beer all inclusive,True,True,True,False,False,False,False,False,True,False,True,False,False,True,False,True,True,True,True,True,True
Florence: Occult & Esotericism Walking Tour For The Curious,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,True,True,True
Private Transfer: between Sapporo and Upopoy,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
Sip Sip Saigon: Unique Vietnamese Craft Spirit Tasting,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,True,True,True
Table Mountain,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Birdwatching and Wildlife Photography Experience,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True
Private Voyagers Transfer to EDI Airport (EDI),True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
Pompeii & Mt. Vesuvius Tour with easy Lunch,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
Punta Cana: Half Day Dominican Cultural and Higuey City Tour,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
From Delhi: 3-Day Golden Triangle Tour with Hotels,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
Cabo San Lucas: Sunset Cruise with Wine and Jazz,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True
From Ierapetra: Cruise to Chrissi Island with Swimming,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
"Lombok: Traditional Pottery, Sukarara Weaving & Tanjung Aan",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
From Medellín: ATV and Waterfall Paragliding Tour,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Pilanesberg National Park 3-Hour Game Drive,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
Khasab: Beach Camping with a Full Day Cruise - full board included for 200 AED.,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True
From Arusha: Coffee Farm and Mangalia Waterfalls Tour,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
"From Naples: Sorrento, Amalfi, and Ravello small group Trip",True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
Los Angeles: Street Art Walking Tour With A Guide,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Hattiban Rock Climbing: Embrace the Adventure,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True
From Arusha: 2-Day Safari to Tarangire and Lake Manyara trip,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Cairns: Fitzroy Island Full-Day Trip with Optional Extras - $10 off for families.,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Sigiriya Fortress & Polonnaruwa Guided Tour,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True
From Cancun: Aquatic Adventure in Tulum,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
"Dubai: Burj Al Arab, Future Museum, Dubai Frame Tour phone bookings enjoy 10% off",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
Broome: 30-Minute Scenic Helicopter Flight,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
Ho Chi Minh City : Mekong Delta Tour & Cu Chi Tunnels 1 day.,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
Discover the Local Scene,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Private Transfer from Oporto Airport to Amarante,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
Jackson Hole: Aerial Tram and Gondolas Admission Ticket,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True
Barcelona: Olympic Segway Tour,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Arzana: Day with a shepherd w/ lunch in a farm,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
"From Chincoteague: Pony and Wildlife Boat Tour, recommended by Expedia travelers",False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True
From Lexington: Kentucky Horse Farms Tour,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Uyuni: 2-Day Tour with Train Cemetery and Salar de Uyuni,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
Bangkok: Muay Thai Boxing Introduction Class for Beginners,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True
wine hopping (wine trip),False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
Dublin: Howth Coastal Boat Tour,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Explore the City’s Highlights,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True
Cartagena: Day Trip To San Bernardo Island Up To 8 People,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
Tokyo: Cultural Temple Tour with a Real Local,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True
From San Pedro de Atacama: 3-Day Uyuni Salt Flats Tour,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
Curubande: Chorreras waterfall guided hike,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Starved Rock State Park: Guided Kayaking Tour,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Rhodes: Lindos Bus Tour with Free Time to Explore,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Laguna Beach: Winery & Wine Tasting Experience,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
Marino Ballena National Park: Whale Watching In Uvita,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Maui: Heavenly Hana Full-Day Excursion from Kahului - Adventure Awaits at $200!,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,True
Grand Canyon West: Private Sunset Tour from Las Vegas,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True
Mauritius Ile aux cerfs PRIVATE BOAT,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True
Explore the Art District,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Visit Cosplay Shop and Shopping in Anime Store,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
